"dates";"avg";"tmin";"max";"Precipitation";"windSpeed";"pressure";"tsun";"city";"years";"months";"days"
"2020-01-01";21.4;13.7;29.1;1;"";1014.5;0;"Achalpur";2020;1;1
"2020-02-01";24.3;15.8;32.7;0;"";1013.9;0;"Achalpur";2020;2;1
"2020-03-01";27.9;19.7;36.2;18;"";1010.1;0;"Achalpur";2020;3;1
"2020-04-01";33.2;24.6;41.8;2;"";1006.3;0;"Achalpur";2020;4;1
"2020-05-01";36.1;28.1;44.0;3;"";1002.8;0;"Achalpur";2020;5;1
"2020-06-01";30.3;24.3;36.2;129;"";1001.3;0;"Achalpur";2020;6;1
"2020-07-01";29.1;24.6;33.5;245;"";1001.5;0;"Achalpur";2020;7;1
"2020-08-01";27.3;23.9;30.6;212;"";1001.1;0;"Achalpur";2020;8;1
"2020-09-01";28.9;24.1;33.8;109;"";1004.1;0;"Achalpur";2020;9;1
"2020-10-01";28.5;22.7;34.3;45;"";1007.1;0;"Achalpur";2020;10;1
"2020-11-01";25.1;17.0;33.1;4;"";1013.8;0;"Achalpur";2020;11;1
"2020-12-01";22.9;14.6;31.3;0;"";1014.1;0;"Achalpur";2020;12;1
"2021-01-01";23.3;17.8;30.3;3;"";1012.8;0;"Achalpur";2021;1;1
"2021-02-01";23.9;17.0;31.6;5;"";1013.6;0;"Achalpur";2021;2;1
"2021-03-01";28.3;21.1;36.6;10;"";1010.5;0;"Achalpur";2021;3;1
"2021-04-01";31.4;24.0;39.1;0;"";1007.8;0;"Achalpur";2021;4;1
"2021-05-01";33.4;26.3;39.0;49;"";1004.5;0;"Achalpur";2021;5;1
"2021-06-01";29.1;24.0;34.0;222;"";1003.6;0;"Achalpur";2021;6;1
"2021-07-01";27.8;24.0;31.0;225;"";1002.2;0;"Achalpur";2021;7;1
"2021-08-01";26.8;23.0;30.3;189;"";1004.6;0;"Achalpur";2021;8;1
"2021-09-01";26.9;22.4;29.8;475;"";1004.4;0;"Achalpur";2021;9;1
"2021-10-01";25.4;20.7;31.6;130;"";1009.3;0;"Achalpur";2021;10;1
"2021-11-01";24.7;19.7;30.6;5;"";1011.7;0;"Achalpur";2021;11;1
"2021-12-01";21.5;16.0;28.2;24;"";1015.3;0;"Achalpur";2021;12;1
"2022-01-01";19.6;14.2;26.6;36;"";1014.3;0;"Achalpur";2022;1;1
"2022-02-01";23.0;16.2;31.2;2;"";1011.9;0;"Achalpur";2022;2;1
"2022-03-01";29.7;21.9;37.9;1;"";1009.0;0;"Achalpur";2022;3;1
"2022-04-01";34.1;26.4;42.0;0;"";1006.0;0;"Achalpur";2022;4;1
"2022-05-01";35.3;28.6;41.9;13;"";1001.9;0;"Achalpur";2022;5;1
"2022-06-01";31.3;26.2;37.0;111;"";1002.5;0;"Achalpur";2022;6;1
"2022-07-01";25.9;23.1;29.1;414;"";1002.4;0;"Achalpur";2022;7;1
"2022-08-01";26.1;23.1;29.8;358;"";1003.1;0;"Achalpur";2022;8;1
"2022-09-01";26.0;22.9;30.5;259;"";1005.9;0;"Achalpur";2022;9;1
"2022-10-01";25.1;20.6;31.1;83;"";1010.7;0;"Achalpur";2022;10;1
"2022-11-01";22.9;17.2;30.7;0;"";1013.7;0;"Achalpur";2022;11;1
"2022-12-01";22.9;17.4;30.2;5;"";1013.5;0;"Achalpur";2022;12;1
"2023-01-01";21.8;16.1;29.7;2;"";1014.8;0;"Achalpur";2023;1;1
"2023-02-01";24.5;16.8;33.9;0;"";1013.7;0;"Achalpur";2023;2;1
"2023-03-01";27.4;19.9;34.5;25;"";1011.7;0;"Achalpur";2023;3;1
"2023-04-01";30.1;22.5;37.1;56;"";1009.2;0;"Achalpur";2023;4;1
"2023-05-01";32.3;24.9;39.4;25;"";1006.7;0;"Achalpur";2023;5;1
"2023-06-01";32.8;26.4;37.9;97;"";1003.2;0;"Achalpur";2023;6;1
"2023-07-01";27.2;23.5;30.2;401;"";1002.7;0;"Achalpur";2023;7;1
"2023-08-01";26.8;23.0;30.3;78;"";1005.9;0;"Achalpur";2023;8;1
"2023-09-01";27.5;23.3;31.0;172;"";1005.0;0;"Achalpur";2023;9;1
"2023-10-01";26.4;20.7;33.8;24;"";1011.6;0;"Achalpur";2023;10;1
"2023-11-01";24.3;19.1;30.9;67;"";1014.0;0;"Achalpur";2023;11;1
"2023-12-01";21.8;16.5;28.1;4;"";1015.2;0;"Achalpur";2023;12;1
"2024-01-01";21.9;16.5;28.8;1;"";1014.8;0;"Achalpur";2024;1;1
"2024-02-01";25.0;18.4;32.4;5;"";1014.3;0;"Achalpur";2024;2;1
"2024-03-01";28.6;21.2;36.5;7;"";1011.4;0;"Achalpur";2024;3;1
"2024-04-01";31.4;23.8;38.1;56;"";1008.3;0;"Achalpur";2024;4;1
"2024-05-01";33.5;26.1;41.0;16;"";1003.8;0;"Achalpur";2024;5;1
"2024-06-01";32.0;25.0;37.0;140;"";1002.8;0;"Achalpur";2024;6;1
"2024-07-01";27.4;23.7;29.8;496;"";1000.6;0;"Achalpur";2024;7;1
"2024-08-01";27.2;23.4;29.9;225;"";1003.5;0;"Achalpur";2024;8;1
"2024-09-01";27.3;23.2;30.8;153;"";1003.9;0;"Achalpur";2024;9;1
"2024-10-01";27.2;22.3;33.5;71;"";1009.9;0;"Achalpur";2024;10;1
"2024-11-01";24.0;18.6;31.3;0;"";1013.5;0;"Achalpur";2024;11;1
"2024-12-01";22.9;17.5;29.8;9;"";1013.6;0;"Achalpur";2024;12;1
"2025-01-01";23.0;16.8;30.8;0;"";1013.9;0;"Achalpur";2025;1;1
"2025-02-01";26.7;20.0;34.4;0;"";1013.1;0;"Achalpur";2025;2;1
"2025-03-01";30.5;21.0;39.9;0;"";1009.1;0;"Achalpur";2025;3;1
"2025-04-01";33.5;26.1;41.1;12;"";1006.3;0;"Achalpur";2025;4;1
"2025-05-01";32.0;25.1;37.7;98;"";1003.8;0;"Achalpur";2025;5;1
"2025-06-01";29.9;24.8;34.6;165;"";1001.9;0;"Achalpur";2025;6;1
"2025-07-01";26.9;23.3;29.5;281;"";1001.9;0;"Achalpur";2025;7;1
"2025-08-01";26.4;23.0;30.2;288;"";1004.4;0;"Achalpur";2025;8;1
"2025-09-01";25.6;22.9;29.7;329;"";1006.0;0;"Achalpur";2025;9;1
"2025-10-01";25.8;22.1;30.2;108;"";1009.9;0;"Achalpur";2025;10;1
"2025-11-01";22.3;17.2;28.1;4;"";1014.6;0;"Achalpur";2025;11;1
"2025-12-01";20.6;14.5;27.8;0;"";1015.7;0;"Achalpur";2025;12;1
"2021-02-01";23.0;17.2;29.3;1;"";1014.2;0;"Ahmednagar";2021;2;1
"2021-03-01";27.4;21.3;33.9;1;"";1011.8;0;"Ahmednagar";2021;3;1
"2021-04-01";29.4;23.2;35.8;2;"";1010.1;0;"Ahmednagar";2021;4;1
"2021-05-01";28.3;23.1;34.2;44;"";1007.3;0;"Ahmednagar";2021;5;1
"2021-06-01";24.7;21.7;29.1;121;"";1007.3;0;"Ahmednagar";2021;6;1
"2021-07-01";24.4;21.7;28.4;190;"";1005.5;0;"Ahmednagar";2021;7;1
"2021-08-01";23.7;20.6;27.7;348;"";1007.6;0;"Ahmednagar";2021;8;1
"2021-09-01";23.3;20.6;27.2;229;"";1007.0;0;"Ahmednagar";2021;9;1
"2021-10-01";23.5;19.3;28.4;88;"";1010.9;0;"Ahmednagar";2021;10;1
"2021-11-01";23.1;19.0;28.3;60;"";1012.1;0;"Ahmednagar";2021;11;1
"2021-12-01";20.2;15.7;25.5;42;"";1015.5;0;"Ahmednagar";2021;12;1
"2022-01-01";19.5;14.1;25.7;2;"";1014.4;0;"Ahmednagar";2022;1;1
"2022-02-01";22.9;16.0;30.0;0;"";1012.4;0;"Ahmednagar";2022;2;1
"2022-03-01";28.1;22.1;34.7;1;"";1010.5;0;"Ahmednagar";2022;3;1
"2022-04-01";31.4;24.1;38.5;0;"";1008.4;0;"Ahmednagar";2022;4;1
